Tools	weighted_acc	F1score
 ExPecto	0.480661009	0.003418803
 CARMEN	0.57003752	0.321767956
 EnembleExpr	0.505218089	0.217477264
 CADD	0.488075033	0.130311615
 DeepSEA	0.488968289	0.07775378
 FunSeq2	0.484457853	0.013757524
 Eigen	0.50149065	0.210943695
 Eigen-PC	0.543228837	0.276091784
 GWAVA-Region	0.48481591	0.062819576
 GWAVA-TSS	0.502821822	0.14375
 GWAVA-Unmatch	0.527188032	0.224385246
 DeepFIGV-DNase	0.514783385	0.273567468
 DeepFIGV-H3K27AC	0.506654757	0.267755843
 DeepFIGV-H3K4ME1	0.500401965	0.262908681
 DeepFIGV-H3K4ME3	0.521304154	0.279624112
 ncER	0.525069264	0.282347505
